Planet Name,Parallax,Number of Photometric Measurements,Number of Spectroscopic Measurements,Right Ascension,Declination,Galactic Longitude,Star Age Limit,Cluster
HIP 113103 c,1.4622833699697275,-0.4634911284070809,-0.2721781592978959,2.329303626210818,-1.4757685848322624,1.70276410042011,0.0,1
TOI-1694 b,0.7662776428999397,-0.4634911284070809,-0.2721781592978959,-1.4176010646535089,2.1561326896021598,0.5110909217560787,0.0,0
Kepler-37 e,1.2795295825766575,-0.4634911284070809,-0.2721781592978959,0.3720628388480748,0.6559475288416299,-0.5151304253195972,0.0,0
Kepler-85 e,-0.8837034818915899,-0.4634911284070809,-0.2721781592978959,0.5320550463103546,0.6973991635287979,-0.4630145121843403,0.0,0
Kepler-57 b,-0.763873408859384,-0.4634911284070809,-0.2721781592978959,0.5981196361386916,0.6633365728428143,-0.4580993325100502,0.0,0
TOI-4515 b,0.3492249257185364,-0.4634911284070809,-0.2721781592978959,-1.693382576785423,-0.2702319984447935,0.3484984082657601,0.0,1
HD 191939 e,1.3840465697262283,2.155323140518369,-0.2721781592978959,0.8219850518244801,2.197952009875722,-0.079594502786315,-1.0,2
TOI-2373 b,-0.5776136579138493,-0.4634911284070809,-0.2721781592978959,-1.5606376715003398,-1.1144960827731845,1.0157897132790528,0.0,1
TOI-1136 d,1.0865178989972253,-0.4634911284070809,-0.2721781592978959,-0.8538909978286193,2.0299331749061853,0.2348688752964166,0.0,0
TOI-6029 b,-0.7142324930385784,-0.4634911284070809,-0.2721781592978959,-1.729314315220722,1.7893213168105666,0.2033407657457499,0.0,0
WASP-31 b,-0.3256345594649978,-0.4634911284070809,-0.2721781592978959,-1.0250261898110706,-1.1510779850819477,1.3803127307932892,0.0,1
TOI-5076 b,1.1014799199471794,-0.4634911284070809,-0.2721781592978959,-1.5998579570728155,-0.3949273429746511,0.6804421020224976,0.0,1
OGLE-2023-BLG-0836L b,-0.2772057243027166,-0.4634911284070809,-0.2721781592978959,0.041261949199553,-1.2223134228736008,-2.410332455526582,0.0,0
TOI-2447 b,0.6025442500208141,-0.4634911284070809,-0.2721781592978959,-1.526249529958233,-1.3367976375737145,1.159245251327779,0.0,1
Kepler-522 b,-0.7581907350757462,-0.4634911284070809,-0.2721781592978959,0.4648791004383545,0.6321743425559299,-0.501212883398648,0.0,0
HD 13908 b,1.1312882181481998,2.155323140518369,-0.2721781592978959,-1.6522996017742166,2.0914385748745183,0.3324929031785655,0.0,2
HD 159243 b,1.189073542026243,2.155323140518369,-0.2721781592978959,-0.0244264192625078,-0.6852884822253265,-1.6220641899396917,0.0,2
nu Oct A b,1.7435598939216566,2.155323140518369,-0.2721781592978959,1.5832450616010274,-1.784303810194381,1.5600358418105291,0.0,2
Kepler-244 c,-1.0628666747725468,-0.4634911284070809,-0.2721781592978959,0.4437395008405278,0.5413182872606205,-0.5393258409818145,0.0,0
Kepler-336 d,-1.3390430459211438,-0.4634911284070809,-0.2721781592978959,0.5142634821883597,0.493201029262532,-0.5385872508555666,0.0,0
Kepler-349 b,-1.0101295328112343,-0.4634911284070809,-0.2721781592978959,0.5990065633331173,0.661124442098123,-0.4585950932700711,0.0,0
GJ 806 c,1.8479380652243784,2.155323140518369,3.674234735625266,1.098433760413514,0.6549831207162647,-0.3369972401485831,0.0,3
HD 41004 A b,1.5671775376828794,2.155323140518369,-0.2721781592978959,-1.4508800716866035,-1.5355133685144555,1.2847426252535226,0.0,2
HD 41004 B b,1.5130341813395354,-0.4634911284070809,-0.2721781592978959,-1.4508801072173134,-1.535513285192216,1.2847425719865104,0.0,1
TOI-2416 b,-0.6532308989002418,-0.4634911284070809,-0.2721781592978959,-1.5761507019911196,-1.6663300309357956,1.379089070882118,0.0,1
TOI-4342 c,1.3033794479070815,-0.4634911284070809,-0.2721781592978959,1.5469640761078336,-1.784303810194381,1.558271426098798,0.0,1
TOI-2207 b,-0.2993403789666268,-0.4634911284070809,-0.2721781592978959,0.9847797821972166,-1.497605628886322,1.7170875498028226,0.0,1
TOI-277 b,1.2721550552245289,-0.4634911284070809,-0.2721781592978959,-1.6996391891878804,-1.180457498445546,0.6814832499796868,0.0,1
Kepler-88 d,-0.3086303039990655,-0.4634911284070809,-0.2721781592978959,0.5363054285292489,0.4610714379834592,-0.5446256253561599,0.0,0
